UNSAT_SAT pretty       3.36
Binary    pretty_oc    3.56
SAT_UNSAT pretty       3.66
Binary    pretty       3.96
SAT_UNSAT fast         4.27
UNSAT_SAT fast         4.52
Binary    fast         4.79
=== t_easy//t_35.smp ===
SAT_UNSAT pretty       1.05
SAT_UNSAT pretty_oc    1.05
Binary    pretty       1.86
Binary    pretty_oc    1.86
UNSAT_SAT pretty       2.2
UNSAT_SAT pretty_oc    2.2
SAT_UNSAT fast         2.54
Binary    fast         3.44
UNSAT_SAT fast         3.76
=== t_easy//t_36.smp ===
SAT_UNSAT pretty_oc    1.6400000000000001
SAT_UNSAT pretty       1.77
Binary    pretty_oc    1.96
Binary    pretty       2.1
UNSAT_SAT pretty_oc    2.76
UNSAT_SAT pretty       2.87
SAT_UNSAT fast         3.76
Binary    fast         4.06
UNSAT_SAT fast         4.88
=== t_easy//t_37.smp ===
SAT_UNSAT pretty       0.82
SAT_UNSAT pretty_oc    0.83
Binary    pretty       1.63
Binary    pretty_oc    1.65
UNSAT_SAT pretty       1.9299999999999997
UNSAT_SAT pretty_oc    1.96
SAT_UNSAT fast         4.19
Binary    fast         5.140000000000001
UNSAT_SAT fast         5.45
=== t_easy//t_38.smp ===
SAT_UNSAT pretty_oc    1.96
SAT_UNSAT pretty       2.17
Binary    pretty_oc    2.4899999999999998
Binary    pretty       2.62
UNSAT_SAT pretty_oc    3.2099999999999995
UNSAT_SAT pretty       3.4699999999999998
SAT_UNSAT fast         5.09
Binary    fast         5.65
UNSAT_SAT fast         6.57
=== t_easy//t_39.smp ===
SAT_UNSAT pretty_oc    1.37
SAT_UNSAT pretty       1.38
SAT_UNSAT fast         1.3900000000000001
Binary    pretty       1.69
Binary    fast         1.69
Binary    pretty_oc    1.69
UNSAT_SAT fast         1.99
UNSAT_SAT pretty       2.01
UNSAT_SAT pretty_oc    2.0100000000000002
=== t_easy//t_3.smp ===
UNSAT_SAT pretty_oc    2.67
UNSAT_SAT pretty       2.71
Binary    pretty_oc    3.83
Binary    pretty       3.8800000000000003
UNSAT_SAT fast         4.3100000000000005
Binary    fast         4.859999999999999
SAT_UNSAT pretty       6.859999999999999
SAT_UNSAT fast         7.02
SAT_UNSAT pretty_oc    7.23
=== t_easy//t_4.smp ===
SAT_UNSAT pretty       0.68
SAT_UNSAT pretty_oc    0.7
Binary    pretty       1.4
Binary    pretty_oc    1.45
UNSAT_SAT pretty       1.7000000000000002
UNSAT_SAT pretty_oc    1.75
SAT_UNSAT fast         1.83
Binary    fast         2.6
UNSAT_SAT fast         2.89
=== t_easy//t_5.smp ===
UNSAT_SAT pretty_oc    3.93
UNSAT_SAT pretty       4.07
Binary    pretty       5.24
Binary    pretty_oc    5.25
SAT_UNSAT pretty       8.78
SAT_UNSAT pretty_oc    9.040000000000001
SAT_UNSAT fast         3079.34
UNSAT_SAT fast         3113.4
Binary    fast         3170.41
=== t_easy//t_6.smp ===
SAT_UNSAT pretty_oc    1.15
SAT_UNSAT pretty       1.22
Binary    pretty_oc    2.01
Binary    pretty       2.06
UNSAT_SAT pretty_oc    2.3
UNSAT_SAT pretty       2.3499999999999996
SAT_UNSAT fast         3.17
Binary    fast         4.14
UNSAT_SAT fast         4.46
=== t_easy//t_7.smp ===
SAT_UNSAT pretty_oc    1.09
SAT_UNSAT pretty       1.23
Binary    pretty_oc    1.87
Binary    pretty       2.0
UNSAT_SAT pretty_oc    2.2
UNSAT_SAT pretty       2.29
